train,car,The train pulled into the station,The|train|pulled|into|the|station,heart,blood,,,frequently,often
paid,money,The man was paid his wage. ,The|man|was|paid|his|wage.|,height,centimeters,,,government,elected
afraid,fear,I am afraid of the haunted house. ,I|am|afraid|of|the|haunted|house.|,history,past,,,guarantee,protected
oil,car,The car needed more oil. ,The|car|needed|more|oil.|,imagine,imagination ,,,harass,rude
join,meet,Will you join our game?,Will|you|join|our|game?,increase,rise,,,hindrance,obstruct
coin,money,I have a pound coin. ,I|have|a|pound|coin.|,important,vital,,,identity,person
point,finger,Don't point your finger at me!,Don't|point|your|finger|at|me!,interest,engrossed,,,immediately,now
soil,land,The soil was wet after the rain. ,The|soil|was|wet|after|the|rain.|,island,ocean,,,individual,person
day,night,What day is it today?,What|day|is|it|today?,knowledge,learning,,,interfere,obstruct
play,fun,Will you play football with me?,Will|you|play|football|with|me?,learn,knowledge,,,interrupt,talk over
say,speak,What did the teacher say?,What|did|the|teacher|say?,length,distance,,,language,words
way,far,It is a long way to the cinema. ,It|is|a|long|way|to|the|cinema.|,library,books,,,leisure,play
stay,stop,Please stay here with me. ,Please|stay|here|with|me.|,material,clothes,,,lightning,weather
boy,girl,The boy was swimming. ,The|boy|was|swimming.|,medicine,hospital,,,mischievous,naughty
toy,action figure,The toy lay on the floor. ,The|toy|lay|on|the|floor.|,mention,speak,,,muscle,strength
enjoy,happy,Did you enjoy the party?,Did|you|enjoy|the|party?,minute,seconds,,,necessary,required
annoy,upset,He annoyed his sister.,He|annoyed|his|sister.,natural,habitat,,,nuisance,problem
made,created,Dad made a cake. ,Dad|made|a|cake.|,naughty,nice,,,occupy,stay 
came,went,He came home from school happy.,He|came|home|from|school|happy.,notice,sign,,,occur,happen
same,similar,They ate the same lunch as yesterday.,They|ate|the|same|lunch|as|yesterday.,occasionally,sometimes,,,opportunity,gift
take,give,Will you take me to the cinema?,Will|you|take|me|to|the|cinema?,often,always,,,parliament,government
safe,danger,When is it safe to cross the road?,When|is|it|safe|to|cross|the|road?,opposite,different,,,persuade,debate
these,some,These children are playing nicely. ,These|children|are|playing|nicely.|,ordinary,odd,,,physical,strength
theme,park,The theme park is so much fun!,The|theme|park|is|so|much|fun!,particular,precise,,,prejudice,bias
complete,success,Complete your homework before dinner.,Complete|your|homework|before|dinner.,peculiar,weird,,,privilege,wealth
five,number,Give me a high five please!,Give|me|a|high|five|please!,perhaps,maybe,,,profession,job
ride,horse,I like to ride my bike.,I|like|to|ride|my|bike.,popular,common,,,programme,code
like,enjoy,I like eating chocolate cake. ,I|like|eating|chocolate|cake.|,position,first,,,pronunciation,language
time,watch,It is dinner time now. ,It|is|dinner|time|now.|,possession,occupy,,,queue,wait
side,team,Please use the side entrance.,Please|use|the|side|entrance.,possible,achieve,,,recognise,spot
home,house,He left home early in the morning.,He|left|home|early|in|the|morning.,potatoes,vegetable,,,recommend,suggest
those,objects,Can you help with those bags?,Can|you|help|with|those|bags?,pressure,burden,,,relevant,appropriate
woke,sleep,I woke up early this morning.,I|woke|up|early|this|morning.,probably,likely,,,restaurant,meal
hope,dream,I hope you have a great time!,I|hope|you|have|a|great|time!,promise,pledge,,,rhyme,reason
hole,trap,The rabbit went down a hole. ,The|rabbit|went|down|a|hole.|,purpose,determined,,,rhythm,rap
car,drive,The family bought a new car.,The|family|bought|a|new|car.,quarter,half,,,sacrifice,give up
start,begin,It is time to start the race.,It|is|time|to|start|the|race.,question,answer,,,secretary,job
park,trees,Are you going to the park?,Are|you|going|to|the|park?,recent,this week,,,shoulder,part of the body
arm,leg,The boy has very long arms.,The|boy|has|very|long|arms.,regular,often,,,signature,stamp
garden,flowers,They have a beautiful garden.,They|have|a|beautiful|garden.,reign,king,,,sincerely,meaningful
see,hear,I can see you from up here!,I|can|see|you|from|up|here!,remember,forget,,,soldier,war
tree,acorn,The tree has green leaves.,The|tree|has|green|leaves.,sentence,paragraph,,,stomach,part of the body
green,grass,She lay down on the green grass.,She|lay|down|on|the|green|grass.,separate,detached,,,sufficient,enough
meet,gather,Very pleased to meet you.,Very|pleased|to|meet|you.,special,great,,,suggest,recommend
week,time,What are you doing this week?,What|are|you|doing|this|week?,straight,arrow,,,symbol,sign
sea,land,The boat floated on the sea.,The|boat|floated|on|the|sea.,strange,different,,,system,process
dream,sleep,Did you have a dream last night?,Did|you|have|a|dream|last|night?,strength,weight lifting ,,,temperature,heat
meat,pie,Some people enjoy eating meat.,Some|people|enjoy|eating|meat.,suppose,presume,,,thorough,complete
each,one,,,surprise,birthday party,,,twelfth,number
read,book,What is your favourite book?,What|is|your|favourite|book?,therefore,because,,,variety,range
head,hat,She wore a pink hat on her head.,She|wore|a|pink|hat|on|her|head.,though,nevertheless,,,vegetable,healthy
bread,sandwich,I love eating bread!,I|love|eating|bread!,although,despite,,,vehicle,car
meant,intention,You are supposed to follow the rules.,You|are|supposed|to|follow|the|rules.,thought,brain,,,yacht,boat
instead,rather,Can I have an apple instead?,Can|I|have|an|apple|instead?,through,tunnel,,,"doubt,",confusion
read,write,I read a book yesterday.,I|read|a|book|yesterday.,various,multiple objects,,,"island,",water
her,girl,Do you like her dress?,Do|you|like|her|dress?,weight,pounds and stone,,,"lamb,",animal
term,expression,I'm going to work hard this term!,I'm|going|to|work|hard|this|term!,woman,man,,,"solemn,",sincere
verb,action,My teacher told me to use a verb.,My|teacher|told|me|to|use|a|verb.,women,men,,,"thistle,",stinger
person,you,You are my favourite person.,You|are|my|favourite|person.,accept,decline,,,"knight,",armour
girl,boy,The girl is very well behaved.,The|girl|is|very|well|behaved.,except,apart from,,,"ought,",should
bird,fly,Can you see the bird in the tree?,Can|you|see|the|bird|in|the|tree?,affect,effect,,,"bought,",purchased
shirt,collar ,Do you like my shirt?,Do|you|like|my|shirt?,"effect,",affect,,,"thought,",think
first,winner,She finished first in the race.,She|finished|first|in|the|race.,ball,foot,,,"nought,",shouldn't
third,bronze,He finished third in the race.,He|finished|third|in|the|race.,"bawl,",cry,,,"brought,",taken
turn,left,It is your turn to clean up.,It|is|your|turn|to|clean|up.,berry,straw,,,fought,battle
hurt,arm,I hurt my arm.,I|hurt|my|arm.,"bury,",underground,,,"rough,",uncomfortable
church,wedding,I went to church on Sunday.,I|went|to|church|on|Sunday.,brake,car,,,"tough,",strong
burst,fast,The bottle burst.,The|bottle|burst.,"break,",lunch,,,enough,sufficient
Thursday,day,It is Thursday tomorrow.,It|is|Thursday|tomorrow.,fair,equal,,,cough,sick
June,month,My birthday is in June.,My|birthday|is|in|June.,"fare,",rollercoaster,,,"though,",nevertheless
rule,guide,You must follow the rules in class.,You|must|follow|the|rules|in|class.,grate,annoying,,,"although,",albeit
rude,naughty,The little boy was rude to his Dad.,The|little|boy|was|rude|to|his|Dad.,"great,",amazing,,,dough,bread
use,,Can you use your pen please?,Can|you|use|your|pen|please?,groan,sigh,,,through,completed
tube,rubber,They used a test tube for the experiment.,They|used|a|test|tube|for|the|experiment.,"grown,",adult,,,,
tune,song,Can you sing in tune?,Can|you|sing|in|tune?,here,present,,,borough,location
food,eat,Would you like some food?,Would|you|like|some|food?,"hear,",sound,,,"plough,",field
pool,swim,It is cool in the pool.,It|is|cool|in|the|pool.,heel,foot,,,,
moon,stars,He looked up at the moon.,He|looked|up|at|the|moon.,heal,medicine,,,"deceive,",lie
zoo,animals,The Night Zoo is magical.,The|Night|Zoo|is|magical.,"he’ll,",she'll,,,"conceive,",think up
soon,nearly,I will be home soon.,I|will|be|home|soon.,knot,tie,,,"receive,",get
book,read,I have written a book.,I|have|written|a|book.,"not,",no more,,,"perceive,",spot
took,stole,I took your car key this morning.,I|took|your|car|key|this|morning.,mail,delivery,,,"ceiling,",floor
foot,leg,I kick with my right foot.,I|kick|with|my|right|foot.,"male,",female,,,"co-ordinate,",plan
wood,chop,She put wood on the fire.,She|put|wood|on|the|fire.,main,central,,,"re-enter,",return
good,bad,It is a good day.,It|is|a|good|day.,"mane,",lion,,,"co-operate,",work together
boat,row,The boat sailed on the ocean.,The|boat|sailed|on|the|ocean.,meat,chicken,,,"co-own,",jointly own
coat,jacket,Are you wearing a coat?,Are|you|wearing|a|coat?,"meet,",greet,,,"referring,",attributing
road,drive,Be careful next to the road.,Be|careful|next|to|the|road.,medal,gold,,,"referred,",attributed
coach,bus,The coach shouted at his players.,The|coach|shouted|at|his|players.,"meddle,",mischeivious ,,,"referral,",attribute
goal,score,The striker scored a goal.,The|striker|scored|a|goal.,missed,wide,,,"preferring,",preference
toe,shoe,I have a sore toe.,I|have|a|sore|toe.,"mist,",fog,,,"preferred,",preference
out,in,Get out of my classroom.,Get|out|of|my|classroom.,peace,love,,,"transferring,",moving
about,round,What do you know about football?,What|do|you|know|about|football?,"piece,",cake,,,transferred,moved
mouth,eating,He opened his mouth in shock.,He|opened|his|mouth|in|shock.,plain,blank,,,"reference,",citing
around,circle,They ran around the castle.,They|ran|around|the|castle.,"plane,",holiday,,,"referee,",football
sound,noise,Did you hear that sound?,Did|you|hear|that|sound?,rain,clouds,,,"preference,",favourited
now,ready,I have got a meeting now.,I|have|got|a|meeting|now.,,,,,"transference,",communication
how,why?,How are you today?,How|are|you|today?,,,,,possible,potential
brown,colour,,,scene,theatre,,,"possibly,",maybe
down,up,,,"seen,",view,,,horrible,awful
town,city,,,weather,sunshine,,,"horribly,",awfully
own,mine,,,,,,,terrible,horrible
blow,air,,,whose,,,,"terribly,",awful
snow,rain,,,"who’s,",them,,,visible,clear
grow,plant,,,"invention,",creativity ,,,"visibly,",clearly
show,play,,,"injection,",doctors,,,incredible,impossible
blue,sky,,,"action,",verb,,,incredibly,impossibly
clue,puzzle,,,"hesitation,",doubt,,,sensible,reasonable
TRUE,real,,,completion,finished,,,,
"rescue,",save,,,"expression,",face,,,"sensibly,",reasonable
Tuesday,day,,,"discussion,",chat,,,"dependable,",reliable
"new,",fresh,,,"confession,",mistake,,,"comfortable,",safe
"few,",little,,,"permission,",ask,,,"understandable,",intelligible
"grew,",flower,,,admission,truth,,,"reasonable,",sensible
"flew,",bird,,,"expansion,",growth,,,"enjoyable,",fun
"drew,",pencil,,,"extension,",increase,,,"reliable,",safe
"threw,",arm,,,"comprehension,",understand,,,adorable,lovely
"tie,",shirt,,,tension,pressure,,,adorably ,lovable
"pie,",meat,,,"musician,",guitar,,,adoration,loved
"cried,",sad,,,"electrician,",lighting,,,,
"tried,",effort,,,"magician,",illusion ,,,applicable,relevant
dried,wet,,,"politician,",decision maker,,,applicably,suitable
"chief,",captain,,,"mathematician,",calculate,,,,
"field,",grass,,,"poisonous,",harmful,,,application,programme
"thief,",stole,,,"dangerous,",scary,,,,
"high,",up,,,"mountainous,",hiking,,,considerable,plenty 
"night,",day,,,"famous,",celebrity ,,,considerably,plentiful
"light,",bulb,,,various,variety,,,,
"bright,",stars,,,"tremendous,",magnificent,,,consideration,thought
right,correct,,,"enormous,",huge,,,,
"for,",,,,jealous,green eyes,,,tolerable,endurable
"short,",tall,,,"humorous,",comedy ,,,tolerably,endurable
"born,",baby,,,"glamorous,",model,,,,
"horse,",ride,,,vigorous,fierce,,,toleration,broad-mindedness
morning,light,,,"courageous,",brave,,,,
"more,",too much,,,outrageous,crazy,,,"changeable,",unpredictable
"score,",goal,,,"serious,",stern,,,"noticeable,",obvious
"before,",after,,,"obvious,",clear,,,"forcible,",violent
"wore,",shoes,,,curious,question,,,"legible,",understandable
shore,ocean,,,"hideous,",scary,,,"observant,",perceptive
"saw,",cut,,,"spontaneous,",instant,,,"observance,",inspection
"draw,",pencil,,,"courteous,",polite,,,,
"yawn,",tired,,,"measure,",ruler,,,observation,inspection
crawl,move,,,"treasure,",gold,,,,
"author,",writer,,,"pleasure,",enjoy,,,expectant,anticipative
"August,",month,,,enclosure,habitat,,,,
"dinosaur,",beast,,,"creature,",animal,,,expectation,anticipation
astronaut,space,,,"furniture,",table,,,,
"air,",sky,,,"picture,",art,,,"hesitant,",reluctant
"fair,",rule,,,"nature,",habitat,,,hesitancy,reluctancy
"pair,",cards,,,"adventure,",story,,,,
"hair,",head,,,"information,",wikipedia,,,hesitation,reluctant
chair,sit,,,"adoration,",recognition ,,,,
ear,nose,,,"sensation,",marvel,,,"tolerant,",broad-mindedness
"dear,",letter,,,"preparation,",planning,,,tolerance,broad-mindedness
"hear,",see,,,"admiration,",hero,,,,
"beard,",hair,,,"forgetting,",memory,,,toleration,broad-mindedness
"near,",far,,,"forgotten,",memory,,,,
year,time,,,"beginning,",start,,,substance,matter
"bear,",animal,,,"beginner,",start,,,,
"pear,",fruit,,,"prefer,",choice,,,substantial,lots
wear,shoes,,,preferred,choice,,,,
"bare,",show,,,"gardening,",flower,,,"innocent,",pure
"dare,",tempt,,,"gardener,",trees,,,"innocence,",pure
"care,",love,,,"limiting,",challenge,,,"decent,",good
"share,",love,,,"limited,",challenged,,,"decency,",goodness
"scared,",afraid,,,,,,,"frequent,",often
"lie,",cheat,,,"myth,",greek,,,"frequency,",often
"very,",lots,,,"gym,",sports,,,"confident,",sure
"happy,",sad,,,"Egypt,",ancient,,,confidence ,belief
"funny,",laugh,,,"pyramid,",tomb,,,confidential,secret
"party,",dance,,,"mystery,",detective,,,"assistant,",help
family,parents,,,,,,,"assistance,",help
"dolphin,",swim,,,,,,,"obedient,",complying
"alphabet,",letters,,,,,,,"obedience,",compliant
elephant,animal,,,,,,,"independent,",autonomous
"when,",question,,,,,,,"independence,",autonomous
"where,",question,,,,,,,"official,",authorised
"which,",question,,,,,,,"special,",noteworthy
"wheel,",round,,,,,,,"artificial,",fake
"Kent,",County,,,,,,,"partial,",incomplete
"sketch,",draw,,,,,,,,
"kit,",clothes,,,,,,,"essential,",vital
"skin,",lotion,,,,,,,"vicious,",violent
"unhappy,",sad,,,,,,,"precious,",valuable
"undo,",change,,,,,,,,
"unload,",remove,,,,,,,"delicious,",tasty
"unfair,",rules,,,,,,,"malicious,",evil
unlock,padlock,,,,,,,suspicious,questionable
"football,",pitch,,,,,,,"ambitious,",desirous
"playground,",run,,,,,,,"cautious,",wary
"farmyard,",animals,,,,,,,"fictitious,",imaginary
"bedroom,",sleep,,,,,,,"infectious,",contagious
blackberry,fruit,,,,,,,"nutritious,",healthy
"the,",,,,,,,,,
"a,",,,,,,,,,
"do,",,,,,,,,,
"to,",,,,,,,,,
"today,",yesterday,,,,,,,,
"of,",,,,,,,,,
"said,",speech,,,,,,,,
"says,",,,,,,,,,
"are,",,,,,,,,,
"were,",,,,,,,,,
"was,",,,,,,,,,
"is,",,,,,,,,,
"his,",,,,,,,,,
"has,",,,,,,,,,
"I,",,,,,,,,,
"you,",,,,,,,,,
"your,",,,,,,,,,
"they,",,,,,,,,,
"be,",,,,,,,,,
"he,",,,,,,,,,
"me,",,,,,,,,,
"she,",,,,,,,,,
"we,",,,,,,,,,
"no,",,,,,,,,,
"go,",,,,,,,,,
"so,",,,,,,,,,
"by,",,,,,,,,,
"my,",,,,,,,,,
"here,",there,,,,,,,,
"there,",here,,,,,,,,
"where,",question,,,,,,,,
"love,",heart,,,,,,,,
,,,,,,,,,
"some,",few,,,,,,,,
"one,",two,,,,,,,,
"once,",upon,,,,,,,,
"ask,",question,,,,,,,,
"friend,",mate,,,,,,,,
"school,",learn,,,,,,,,
"put,",,,,,,,,,
"push,",pull,,,,,,,,
"pull,",push,,,,,,,,
"full,",empty,,,,,,,,
,,,,,,,,,
our,,,,,,,,,
goes,went,,,,,,,,
"badge,",button,,,,,,,,
"edge,",cliff,,,,,,,,
"bridge,",river,,,,,,,,
"dodge,",avoid,,,,,,,,
"fudge,",sweet,,,,,,,,
"age,",time,,,,,,,,
"huge,",giant,,,,,,,,
"change,",different,,,,,,,,
"charge,",power,,,,,,,,
"bulge,",grow,,,,,,,,
village,town,,,,,,,,
"gem,",stone,,,,,,,,
"giant,",huge,,,,,,,,
"magic,",witch,,,,,,,,
"giraffe,",animal,,,,,,,,
energy,power,,,,,,,,
,,,,,,,,,
"jar,",tin,,,,,,,,
"jog,",run,,,,,,,,
"join,",team,,,,,,,,
"adjust,",change,,,,,,,,
"race,",run,,,,,,,,
"ice,",water,,,,,,,,
"cell,",prison,,,,,,,,
"city,",town,,,,,,,,
"fancy,",like,,,,,,,,
"knock,",door,,,,,,,,
"know,",think,,,,,,,,
"knee,",elbow,,,,,,,,
"gnat,",fly,,,,,,,,
"gnaw,",bite,,,,,,,,
"write,",author,,,,,,,,
"written,",author,,,,,,,,
"wrote,",author,,,,,,,,
"wrong,",incorrect,,,,,,,,
"wrap,",chicken,,,,,,,,
"table,",chair,,,,,,,,
"apple,",fruit,,,,,,,,
"bottle,",drink,,,,,,,,
"little,",lots,,,,,,,,
"camel,",animal,,,,,,,,
"tunnel,",dark,,,,,,,,
"squirrel,",animal,,,,,,,,
"travel,",go,,,,,,,,
"towel,",dry,,,,,,,,
"tinsel,",tree,,,,,,,,
"metal,",armour,,,,,,,,
"pedal,",car,,,,,,,,
"capital,",city,,,,,,,,
"hospital,",sick,,,,,,,,
"animal,",zoo,,,,,,,,
"cry,",sad,,,,,,,,
"fly,",up,,,,,,,,
,,,,,,,,,
"try,",effort,,,,,,,,
"reply,",say,,,,,,,,
"July,",month,,,,,,,,
"flies,",insect,,,,,,,,
"tries,",effort,,,,,,,,
"replies,",says,,,,,,,,
"copies,",lots,,,,,,,,
"babies,",hospital,,,,,,,,
"carries,",bag,,,,,,,,
"copied,",same,,,,,,,,
,,,,,,,,,
"happier,",better,,,,,,,,
"happiest,",best,,,,,,,,
"cried,",sad,,,,,,,,
"replied,",said,,,,,,,,
"hiking,",walking,,,,,,,,
"hiked,",walked,,,,,,,,
"hiker,",walker,,,,,,,,
"nicer,",better,,,,,,,,
"nicest,",best,,,,,,,,
"shiny,",glowing,,,,,,,,
"mixing,",bowl,,,,,,,,
"mixed,",bag,,,,,,,,
,,,,,,,,,
sixes.,number,,,,,,,,
"patting,",dog,,,,,,,,
"patted,",a dog,,,,,,,,
"humming,",bird,,,,,,,,
"hummed,",sound,,,,,,,,
"dropping,",dropped,,,,,,,,
"dropped,",dropping,,,,,,,,
"sadder,",saddest,,,,,,,,
"saddest,",sadder,,,,,,,,
"fatter,",bigger,,,,,,,,
"fattest,",biggest,,,,,,,,
"runner,",fast,,,,,,,,
"runny,",gooey ,,,,,,,,
"ball,",cricket,,,,,,,,
"call,",shout,,,,,,,,
"walk,",run,,,,,,,,
"talk,",speak,,,,,,,,
"always,",never,,,,,,,,
"other,",different,,,,,,,,
"mother,",family,,,,,,,,
"brother,",family,,,,,,,,
"nothing,",something,,,,,,,,
"Monday,",day,,,,,,,,
"key,",door,,,,,,,,
"donkey,",animal,,,,,,,,
"monkey,",animal,,,,,,,,
"chimney,",smoke,,,,,,,,
"valley,",hill,,,,,,,,
"want,",need,,,,,,,,
"watch,",wrist,,,,,,,,
"wander,",walk,,,,,,,,
"quantity,",total,,,,,,,,
"squash,",sport,,,,,,,,
"word,",letter,,,,,,,,
"work,",job,,,,,,,,
"worm,",soil,,,,,,,,
"world,",globe,,,,,,,,
"worth,",wealth,,,,,,,,
"war,",death,,,,,,,,
"warm,",cold,,,,,,,,
"towards,",travel,,,,,,,,
"television,",screen,,,,,,,,
"treasure,",chest,,,,,,,,
"usual,",different,,,,,,,,
"enjoyment,",happiness,,,,,,,,
"sadness,",happiness,,,,,,,,
"careful,",planning,,,,,,,,
"playful,",games,,,,,,,,
"hopeless,",sad,,,,,,,,
"plainness,",average,,,,,,,,
badly,wrong,,,,,,,,
"merriment,",happiness,,,,,,,,
"happiness,",merriment,,,,,,,,
"plentiful,",bounty,,,,,,,,
"penniless,",broke,,,,,,,,
"happily,",smiling,,,,,,,,
"station,",train,,,,,,,,
"fiction,",fact,,,,,,,,
"motion,",movement,,,,,,,,
"national,",team,,,,,,,,
section,part,,,,,,,,
"there,",location,,,,,,,,
"their,",own,,,,,,,,
"they’re,",yours,,,,,,,,
,,,,,,,,,
"hear,",see,,,,,,,,
"quite,",similar,,,,,,,,
"quiet,",loud,,,,,,,,
"see,",hear,,,,,,,,
"sea,",ocean,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"won,",winner,,,,,,,,
"sun,",moon,,,,,,,,
"son,",daughter,,,,,,,,
"to,",,,,,,,,,
"too,",,,,,,,,,
"two,",number,,,,,,,,
be,,,,,,,,,
"bee,",insect,,,,,,,,
,,,,,,,,,
"blew,",air,,,,,,,,
"night,",day,,,,,,,,
"knight,",armour,,,,,,,,
"past,",present,,,,,,,,
"last,",first,,,,,,,,
"fast,",slow,,,,,,,,
"path,",road,,,,,,,,
"bath,",shower,,,,,,,,
"door,",key,,,,,,,,
"floor,",ceiling,,,,,,,,
"poor,",less,,,,,,,,
"because,",therefore,,,,,,,,
"find,",discover,,,,,,,,
"kind,",generous,,,,,,,,
"mind,",think,,,,,,,,
"behind,",ahead,,,,,,,,
"child,",adult,,,,,,,,
"children,",adults,,,,,,,,
"wild,",beast,,,,,,,,
"climb,",mountain,,,,,,,,
"most,",least,,,,,,,,
"only,",one,,,,,,,,
"both,",two,,,,,,,,
"old,",young,,,,,,,,
"cold,",warm,,,,,,,,
"gold,",silver,,,,,,,,
"hold,",carry,,,,,,,,
"told,",tale,,,,,,,,
"every,",body,,,,,,,,
"everybody,",all,,,,,,,,
"even,",same,,,,,,,,
"great,",good,,,,,,,,
"break,",broken,,,,,,,,
"steak,",meat,,,,,,,,
"pretty,",beautiful,,,,,,,,
"beautiful,",pretty,,,,,,,,
"after,",later,,,,,,,,
"fast,",rapid,,,,,,,,
"last,",end,,,,,,,,
"past,",history,,,,,,,,
"father,",mother,,,,,,,,
"class,",school,,,,,,,,
"grass,",green,,,,,,,,
"pass,",exam,,,,,,,,
"plant,",flower,,,,,,,,
"path,",walk,,,,,,,,
"bath,",shower,,,,,,,,
"hour,",time,,,,,,,,
"move,",motion,,,,,,,,
"prove,",explain,,,,,,,,
"improve,",advance,,,,,,,,
"sure,",positive,,,,,,,,
"sugar,",sweet,,,,,,,,
"eye,",see,,,,,,,,
"could,",would,,,,,,,,
"should,",would,,,,,,,,
"would,",could,,,,,,,,
"who,",person,,,,,,,,
"whole,",full,,,,,,,,
"any,",several,,,,,,,,
"many,",group,,,,,,,,
"clothes,",t-shirts,,,,,,,,
"busy,",active,,,,,,,,
"people,",human,,,,,,,,
"water,",drink,,,,,,,,
"again,",repeat,,,,,,,,
"half,",fraction,,,,,,,,
"money,",pay,,,,,,,,
"Mr,",husband,,,,,,,,
"Mrs,",wife,,,,,,,,
"parents,",family,,,,,,,,
Christmas,celebrate,,,,,,,,
